consumer,consumer_table,column,target,replacement,contract,consistency
COURSE,crs_course,teacher_id,IDENTITY.t_auth_user.user_id,identity-security-version-event,contracts/v2/asyncapi/events.asyncapi.json#/components/messages/identity.security-version.changed.v2,eventual
COURSE,crs_course_member,user_id,IDENTITY.t_auth_user.user_id,identity-security-version-event,contracts/v2/asyncapi/events.asyncapi.json#/components/messages/identity.security-version.changed.v2,eventual
COURSE,crs_course_member,approved_by,IDENTITY.t_auth_user.user_id,identity-security-version-event,contracts/v2/asyncapi/events.asyncapi.json#/components/messages/identity.security-version.changed.v2,eventual
COURSE,crs_resource,upload_user_id,IDENTITY.t_auth_user.user_id,identity-security-version-event,contracts/v2/asyncapi/events.asyncapi.json#/components/messages/identity.security-version.changed.v2,eventual
COURSE,crs_announcement,publisher_id,IDENTITY.t_auth_user.user_id,identity-security-version-event,contracts/v2/asyncapi/events.asyncapi.json#/components/messages/identity.security-version.changed.v2,eventual
GRADE,t_grade_item,course_id,COURSE.crs_course.id,course-authorization-api,contracts/v2/openapi/course.openapi.json#/paths/~1internal~1v2~1courses~1{courseId}~1authorizations~1{userId},eventual
GRADE,t_grade_item,source_id,ASSESSMENT.contracts/v2/openapi/assessment.openapi.json#/paths/~1internal~1v2~1source-grades,assessment-source-grade-api,contracts/v2/openapi/assessment.openapi.json#/paths/~1internal~1v2~1source-grades,eventual
GRADE,t_grade_item,created_by,IDENTITY.t_auth_user.user_id,identity-security-version-event,contracts/v2/asyncapi/events.asyncapi.json#/components/messages/identity.security-version.changed.v2,eventual
GRADE,t_grade_record,course_id,COURSE.crs_course.id,course-authorization-api,contracts/v2/openapi/course.openapi.json#/paths/~1internal~1v2~1courses~1{courseId}~1authorizations~1{userId},eventual
GRADE,t_grade_record,student_id,IDENTITY.t_auth_user.user_id,identity-security-version-event,contracts/v2/asyncapi/events.asyncapi.json#/components/messages/identity.security-version.changed.v2,eventual
GRADE,t_grade_record,source_id,ASSESSMENT.contracts/v2/openapi/assessment.openapi.json#/paths/~1internal~1v2~1source-grades,assessment-source-grade-api,contracts/v2/openapi/assessment.openapi.json#/paths/~1internal~1v2~1source-grades,eventual
GRADE,t_course_grade_summary,course_id,COURSE.crs_course.id,course-authorization-api,contracts/v2/openapi/course.openapi.json#/paths/~1internal~1v2~1courses~1{courseId}~1authorizations~1{userId},eventual
GRADE,t_course_grade_summary,student_id,IDENTITY.t_auth_user.user_id,identity-security-version-event,contracts/v2/asyncapi/events.asyncapi.json#/components/messages/identity.security-version.changed.v2,eventual
GRADE,t_grade_publish_record,course_id,COURSE.crs_course.id,course-authorization-api,contracts/v2/openapi/course.openapi.json#/paths/~1internal~1v2~1courses~1{courseId}~1authorizations~1{userId},eventual
