table,owner,schema,primary_key,external_ids,owner_constraints,retained_indexes,migration_strategy
t_auth_user,IDENTITY,oj_identity,user_id,-,identity-local-only,retain-owner-local-indexes,#341-copy-after-schema-create
t_auth_role,IDENTITY,oj_identity,role_id,-,identity-local-only,retain-owner-local-indexes,#341-copy-after-schema-create
t_auth_permission,IDENTITY,oj_identity,permission_id,-,identity-local-only,retain-owner-local-indexes,#341-copy-after-schema-create
t_auth_user_role,IDENTITY,oj_identity,id,-,identity-local-FK-only,retain-owner-local-indexes,#341-copy-after-parent
t_auth_role_permission,IDENTITY,oj_identity,id,-,identity-local-FK-only,retain-owner-local-indexes,#341-copy-after-parent
t_auth_session,IDENTITY,oj_identity,session_id,-,identity-local-FK-only,retain-owner-local-indexes,#341-copy-after-parent
t_auth_audit_log,IDENTITY,oj_identity,log_id,-,identity-local-only,retain-owner-local-indexes,#341-copy-after-schema-create
crs_course,COURSE,oj_course,id,teacher_id->IDENTITY.t_auth_user.user_id,ID-only-no-cross-FK,retain-owner-local-indexes,#341-copy-after-identity-baseline
crs_course_member,COURSE,oj_course,id,user_id->IDENTITY.t_auth_user.user_id;approved_by->IDENTITY.t_auth_user.user_id,ID-only-no-cross-FK,retain-owner-local-indexes,#341-copy-after-course
crs_chapter,COURSE,oj_course,id,-,course-local-FK-only,retain-owner-local-indexes,#341-copy-after-course
crs_resource,COURSE,oj_course,id,upload_user_id->IDENTITY.t_auth_user.user_id,ID-only-no-cross-FK,retain-owner-local-indexes,#341-copy-after-course
crs_announcement,COURSE,oj_course,id,publisher_id->IDENTITY.t_auth_user.user_id,ID-only-no-cross-FK,retain-owner-local-indexes,#341-copy-after-course
t_grade_item,GRADE,oj_grade,id,course_id->COURSE.crs_course.id;source_id->ASSESSMENT.contracts/v2/openapi/assessment.openapi.json#/paths/~1internal~1v2~1source-grades;created_by->IDENTITY.t_auth_user.user_id,ID-only-no-cross-FK,retain-owner-local-indexes,#341-rebuild-from-course-and-assessment
t_grade_record,GRADE,oj_grade,id,course_id->COURSE.crs_course.id;student_id->IDENTITY.t_auth_user.user_id;source_id->ASSESSMENT.contracts/v2/openapi/assessment.openapi.json#/paths/~1internal~1v2~1source-grades,ID-only-no-cross-FK,retain-owner-local-indexes,#341-rebuild-source-grade-projection
t_course_grade_summary,GRADE,oj_grade,id,course_id->COURSE.crs_course.id;student_id->IDENTITY.t_auth_user.user_id,ID-only-no-cross-FK,retain-owner-local-indexes,#341-recalculate-from-grade-record
t_grade_publish_record,GRADE,oj_grade,id,course_id->COURSE.crs_course.id;published_by->IDENTITY.t_auth_user.user_id,ID-only-no-cross-FK,retain-owner-local-indexes,#341-copy-after-grade
t_grade_calculation_batch,GRADE,oj_grade,id,course_id->COURSE.crs_course.id;calculated_by->IDENTITY.t_auth_user.user_id,ID-only-no-cross-FK,retain-owner-local-indexes,#341-copy-after-grade
t_grade_change_log,GRADE,oj_grade,id,course_id->COURSE.crs_course.id;student_id->IDENTITY.t_auth_user.user_id;operator_id->IDENTITY.t_auth_user.user_id,ID-only-no-cross-FK,retain-owner-local-indexes,#341-copy-after-grade
t_grade_review_request,GRADE,oj_grade,id,course_id->COURSE.crs_course.id;student_id->IDENTITY.t_auth_user.user_id;processed_by->IDENTITY.t_auth_user.user_id,ID-only-no-cross-FK,retain-owner-local-indexes,#341-copy-after-grade
t_grade_analysis_snapshot,GRADE,oj_grade,id,course_id->COURSE.crs_course.id,ID-only-no-cross-FK,retain-owner-local-indexes,#341-rebuild-from-grade-facts
t_grade_analysis_source_version,GRADE,oj_grade,course_id+target_type+grade_item_key,course_id->COURSE.crs_course.id,ID-only-no-cross-FK,retain-owner-local-indexes,#341-rebuild-from-grade-facts
