architecture,scenario,round,request_count,average_ms,p95_ms,throughput_requests_per_second,successful_request_count,successful_throughput_requests_per_second,error_rate_percent,cpu_average_percent,cpu_max_percent,memory_average_mib,memory_max_mib
monolith,course-list,1,1199,15.683,19.437,9.916,1199,9.916,0,16.313,22.54,781.907,789.12
monolith,course-list,2,1199,16.808,20.202,9.914,1199,9.914,0,16.071,23.81,789.125,805.93
monolith,course-list,3,1199,16.172,19.337,9.915,1199,9.915,0,15.104,18.65,821.419,826.488
monolith,homework-submission,1,1199,15.328,19.162,9.915,1199,9.915,0,15.78,23.16,829.846,831.41
monolith,homework-submission,2,1199,14.551,17.835,9.916,1199,9.916,0,14.215,20.62,835.442,836.43
monolith,homework-submission,3,1199,14.289,17.63,9.916,1199,9.916,0,13.978,18.82,836.643,837.42
monolith,my-grades,1,1199,10.224,12.762,9.914,1199,9.914,0,10.257,13.82,841.261,845.97
monolith,my-grades,2,1199,10.079,12.644,9.914,1199,9.914,0,10.099,19.18,841.328,844.43
monolith,my-grades,3,1199,10.052,12.255,9.914,1199,9.914,0,10.079,14.14,841.941,851.36
three-service,course-list,1,1199,27.987,32.734,9.914,1199,9.914,0,35.652,59.69,1840.251,1916.98
three-service,course-list,2,1199,27.838,32.746,9.914,1199,9.914,0,34.548,53.81,1874.965,1958.325
three-service,course-list,3,1199,27.799,32.879,9.913,1199,9.913,0,35.853,54.66,1924.986,1989.849
three-service,homework-submission,1,1199,11.154,17.391,9.914,1199,9.914,0,27.198,43.7,1971.18,2046.017
three-service,homework-submission,2,1199,10.277,15.255,9.914,1199,9.914,0,25.336,39.89,1993.769,2063.985
three-service,homework-submission,3,1199,10.186,15.4,9.915,1199,9.915,0,24.627,42.42,2004.306,2067.056
three-service,my-grades,1,1199,11.372,17.828,9.914,1199,9.914,0,30.78,52.61,2055.092,2120.048
three-service,my-grades,2,1199,10.069,16.055,9.915,1199,9.915,0,27.146,41.76,2065.656,2130.625
three-service,my-grades,3,1199,7.117,11.27,9.917,1199,9.917,0,21.483,41.65,2074.534,2137.86
