architecture,scenario,round,request_count,average_ms,p95_ms,throughput_requests_per_second,successful_request_count,successful_throughput_requests_per_second,error_rate_percent,cpu_average_percent,cpu_max_percent,memory_average_mib,memory_max_mib
monolith,course-list,1,29137,41.174,90.386,242.64,29137,242.64,0,191.491,212.09,798.208,804.76
monolith,course-list,2,29888,40.128,89.675,249.05,29888,249.05,0,186.831,193.23,832.695,833.7
monolith,course-list,3,30174,39.749,89.533,251.426,30174,251.426,0,187.777,197.27,835.616,836.75
monolith,homework-submission,1,57911,20.688,71.956,482.573,9870,82.247,82.957,199.691,211.2,906.503,913.68
monolith,homework-submission,2,55211,21.7,73.228,460.074,9591,79.922,82.628,201.6,209.76,934.083,936.88
monolith,homework-submission,3,58827,20.366,71.91,490.205,10346,86.213,82.413,194.922,204,939.936,945.68
monolith,my-grades,1,81853,14.634,66.936,682.081,81853,682.081,0,259.009,271.95,1080.424,1083.25
monolith,my-grades,2,79258,15.114,68.056,660.451,79258,660.451,0,258.865,267.83,1081.299,1087.42
monolith,my-grades,3,82246,14.567,67.772,685.378,82246,685.378,0,261.18,275.4,1089.926,1091.63
three-service,course-list,1,565075,2.122,1.019,4708.466,3640,30.33,99.356,136.891,170.68,1858.721,1921.981
three-service,course-list,2,653310,1.835,1.109,5440.966,3600,29.982,99.449,142.956,170.02,1875.97,1958.31
three-service,course-list,3,649050,1.848,1.133,5405.944,3601,29.993,99.445,141.142,168.89,1907.752,1969.995
three-service,homework-submission,1,663652,1.805,1.362,5530.329,1200,10,99.819,51.279,75.71,1956.375,2027.212
three-service,homework-submission,2,690267,1.735,1.241,5752.204,1200,10,99.826,48.622,77.64,1979.629,2044.204
three-service,homework-submission,3,665754,1.799,1.36,5547.927,1200,10,99.82,47.727,73.53,1993.006,2051.42
three-service,my-grades,1,719420,1.665,1.258,5995.097,0,0,100,44.256,65.32,2036.534,2104.498
three-service,my-grades,2,722333,1.659,1.173,6019.306,0,0,100,40.072,64.51,2041.121,2106.056
three-service,my-grades,3,727559,1.647,1.171,6062.967,0,0,100,40.709,64.65,2067.843,2141.299
